Language	Parameter	Cognateset
*D308_Bodo2	blood	blood-20
*D308_Bodo2	bone	bone-16
*D308_Bodo2	breast	breast-1
*D308_Bodo2	burn	burn-24
*D308_Bodo2	cloud	cloud-37
*D308_Bodo2	die	die-1
*D308_Bodo2	dog	dog-2
*D308_Bodo2	drink	drink-2
*D308_Bodo2	ear	ear-9
*D308_Bodo2	eat	eat-6
*D308_Bodo2	egg	egg-3
*D308_Bodo2	eye	eye-2
*D308_Bodo2	fat, oil	fatoil-21
*D308_Bodo2	feather	feather-26
*D308_Bodo2	fingernail	fingernail-28
*D308_Bodo2	fire	fire-4
*D308_Bodo2	fish	fish-22
*D308_Bodo2	fly	fly-6
*D308_Bodo2	give	give-28
*D308_Bodo2	ground, soil	groundsoil-31
*D308_Bodo2	hair	hair-27
*D308_Bodo2	head	head-1
*D308_Bodo2	hear	hear-1
*D308_Bodo2	heart	heart-1
*D308_Bodo2	horn	horn-18
*D308_Bodo2	knee	knee-15
*D308_Bodo2	know	know-30
*D308_Bodo2	leaf	leaf-3
*D308_Bodo2	leg	leg-14
*D308_Bodo2	liver	liver-31
*D308_Bodo2	louse	louse-26
*D308_Bodo2	man	man-30
*D308_Bodo2	moon	moon-19
*D308_Bodo2	mouth	mouth-14
*D308_Bodo2	name	name-4
*D308_Bodo2	neck	neck-18
*D308_Bodo2	night	night-4
*D308_Bodo2	nose	nose-19
*D308_Bodo2	one	one-15
*D308_Bodo2	person	person-9
*D308_Bodo2	rain	rain-16
*D308_Bodo2	road	road-27
*D308_Bodo2	root	root-22
*D308_Bodo2	sand	sand-26
*D308_Bodo2	see	see-1
*D308_Bodo2	skin	skin-26
*D308_Bodo2	sleep	sleep-1
*D308_Bodo2	smoke	smoke-29
*D308_Bodo2	stone	stone-23
*D308_Bodo2	sun	sun-40
*D308_Bodo2	tail	tail-20
*D308_Bodo2	tongue	tongue-13
*D308_Bodo2	tooth	tooth-3
*D308_Bodo2	tree	tree-1
*D308_Bodo2	two	two-14
*D308_Bodo2	walk	walk-4
*D308_Bodo2	water	water-22
*D308_Bodo2	woman	woman-12
*D308_Ebodo	animal	animal-1
*D308_Ebodo	arm	arm-14
*D308_Ebodo	ashes	ashes-10
*D308_Ebodo	bark	bark-34
*D308_Ebodo	bed	bed-30
*D308_Ebodo	belly	belly-23
*D308_Ebodo	big	big-38
*D308_Ebodo	bird	bird-2
*D308_Ebodo	bite	bite-27
*D308_Ebodo	blood	blood-20
*D308_Ebodo	bone	bone-16
*D308_Ebodo	breast	breast-1
*D308_Ebodo	burn	burn-24
*D308_Ebodo	child	child-1
*D308_Ebodo	cloud	cloud-37
*D308_Ebodo	come	come-40
*D308_Ebodo	die	die-1
*D308_Ebodo	dog	dog-2
*D308_Ebodo	drink	drink-2
*D308_Ebodo	ear	ear-9
*D308_Ebodo	eat	eat-6
*D308_Ebodo	egg	egg-3
*D308_Ebodo	elephant	elephant-9
*D308_Ebodo	eye	eye-2
*D308_Ebodo	face	face-4
*D308_Ebodo	fat, oil	fatoil-21
*D308_Ebodo	feather	feather-26
*D308_Ebodo	fingernail	fingernail-28
*D308_Ebodo	fire	fire-3
*D308_Ebodo	fish	fish-22
*D308_Ebodo	goat	goat-17
*D308_Ebodo	hair	hair-27
*D308_Ebodo	heart	heart-1
*D308_Ebodo	horn	horn-18
*D308_Ebodo	house	house-26
*D308_Ebodo	intestine	intestine-2
*D308_Ebodo	kill	kill-20
*D308_Ebodo	knee	knee-15
*D308_Ebodo	knife	knife-1
*D308_Ebodo	know	know-30
*D308_Ebodo	leaf	leaf-3
*D308_Ebodo	leg	leg-14
*D308_Ebodo	liver	liver-29
*D308_Ebodo	louse	louse-26
*D308_Ebodo	man	man-30
*D308_Ebodo	moon	moon-19
*D308_Ebodo	mouth	mouth-6
*D308_Ebodo	name	name-4
*D308_Ebodo	neck	neck-18
*D308_Ebodo	night	night-4
*D308_Ebodo	nose	nose-19
*D308_Ebodo	one	one-15
*D308_Ebodo	person	person-9
*D308_Ebodo	rain	rain-16
*D308_Ebodo	road	road-27
*D308_Ebodo	root	root-22
*D308_Ebodo	salt	salt-5
*D308_Ebodo	sand	sand-26
*D308_Ebodo	see	see-1
*D308_Ebodo	send	send-13
*D308_Ebodo	skin	skin-1
*D308_Ebodo	sleep	sleep-1
*D308_Ebodo	smoke	smoke-29
*D308_Ebodo	snake	snake-16
*D308_Ebodo	stone	stone-24
*D308_Ebodo	sun	sun-40
*D308_Ebodo	tail	tail-20
*D308_Ebodo	three	three-6
*D308_Ebodo	tongue	tongue-13
*D308_Ebodo	tooth	tooth-3
*D308_Ebodo	tree	tree-23
*D308_Ebodo	two	two-14
*D308_Ebodo	urine	urine-15
*D308_Ebodo	village	village-32
*D308_Ebodo	vomit	vomit-18
*D308_Ebodo	walk	walk-4
*D308_Ebodo	water	water-22
*D308_Ebodo	wind	wind-20
*D308_Ebodo	woman	woman-12
A11_Londo	animal	animal-1
A11_Londo	arm	arm-2
A11_Londo	ashes	ashes-1
A11_Londo	bark	bark-2
A11_Londo	bed	bed-5
A11_Londo	belly	belly-5
A11_Londo	big	big-2
A11_Londo	bird	bird-2
A11_Londo	bite	bite-2
A11_Londo	blood	blood-1
A11_Londo	bone	bone-3
A11_Londo	breast	breast-1
A11_Londo	burn	burn-4
A11_Londo	child	child-1
A11_Londo	cloud	cloud-4
A11_Londo	come	come-7
A11_Londo	count	count-2
A11_Londo	dew	dew-5
A11_Londo	die	die-1
A11_Londo	dog	dog-1
A11_Londo	drink	drink-1
A11_Londo	ear	ear-3
A11_Londo	eat	eat-1
A11_Londo	egg	egg-3
A11_Londo	elephant	elephant-4
A11_Londo	eye	eye-2
A11_Londo	face	face-4
A11_Londo	fall	fall-4
A11_Londo	fat, oil	fatoil-3
A11_Londo	feather	feather-3
A11_Londo	fingernail	fingernail-5
A11_Londo	fire	fire-3
A11_Londo	fire-wood	firewood-3
A11_Londo	fish	fish-2
A11_Londo	five	five-1
A11_Londo	fly	fly-4
A11_Londo	four	four-3
A11_Londo	give	give-3
A11_Londo	goat	goat-1
A11_Londo	ground, soil	groundsoil-5
A11_Londo	hair	hair-1
A11_Londo	head	head-2
A11_Londo	hear	hear-1
A11_Londo	heart	heart-1
A11_Londo	horn	horn-3
A11_Londo	house	house-1
A11_Londo	hunger	hunger-1
A11_Londo	intestine	intestine-4
A11_Londo	iron	iron-6
A11_Londo	kill	kill-3
A11_Londo	knee	knee-3
A11_Londo	knife	knife-5
A11_Londo	know	know-1
A11_Londo	leaf	leaf-3
A11_Londo	leg	leg-3
A11_Londo	liver	liver-1
A11_Londo	louse	louse-5
A11_Londo	man	man-5
A11_Londo	moon	moon-1
A11_Londo	mouth	mouth-3
A11_Londo	name	name-4
A11_Londo	navel	navel-1
A11_Londo	neck	neck-5
A11_Londo	night	night-4
A11_Londo	nose	nose-4
A11_Londo	one	one-1
A11_Londo	person	person-2
A11_Londo	rain	rain-4
A11_Londo	road	road-1
A11_Londo	root	root-3
A11_Londo	salt	salt-5
A11_Londo	sand	sand-3
A11_Londo	see	see-1
A11_Londo	send	send-1
A11_Londo	shame	shame-5
A11_Londo	sing	sing-4
A11_Londo	skin	skin-2
A11_Londo	sky	sky-7
A11_Londo	sleep	sleep-1
A11_Londo	smoke	smoke-4
A11_Londo	snake	snake-1
A11_Londo	spear	spear-1
A11_Londo	steal	steal-4
A11_Londo	stone	stone-3
A11_Londo	sun	sun-5
A11_Londo	tail	tail-1
A11_Londo	ten	ten-3
A11_Londo	three	three-2
A11_Londo	tongue	tongue-1
A11_Londo	tooth	tooth-1
A11_Londo	tree	tree-1
A11_Londo	two	two-1
A11_Londo	urine	urine-3
A11_Londo	village	village-6
A11_Londo	vomit	vomit-2
A11_Londo	walk	walk-4
A11_Londo	war	war-2
A11_Londo	water	water-4
A11_Londo	wind	wind-4
A11_Londo	woman	woman-6
A121_Mbonge	animal	animal-1
A121_Mbonge	arm	arm-2
A121_Mbonge	ashes	ashes-1
A121_Mbonge	bark	bark-2
A121_Mbonge	bed	bed-5
A121_Mbonge	belly	belly-5
A121_Mbonge	big	big-2
A121_Mbonge	bird	bird-2
A121_Mbonge	bite	bite-2
A121_Mbonge	blood	blood-1
A121_Mbonge	bone	bone-3
A121_Mbonge	breast	breast-1
A121_Mbonge	burn	burn-4
A121_Mbonge	child	child-1
A121_Mbonge	cloud	cloud-5
A121_Mbonge	come	come-7
A121_Mbonge	count	count-2
A121_Mbonge	dew	dew-5
A121_Mbonge	die	die-1
A121_Mbonge	dog	dog-2
A121_Mbonge	drink	drink-1
A121_Mbonge	ear	ear-3
A121_Mbonge	eat	eat-1
A121_Mbonge	egg	egg-3
A121_Mbonge	elephant	elephant-4
A121_Mbonge	eye	eye-2
A121_Mbonge	face	face-4
A121_Mbonge	fall	fall-4
A121_Mbonge	fat, oil	fatoil-3
A121_Mbonge	feather	feather-3
A121_Mbonge	fingernail	fingernail-5
A121_Mbonge	fire	fire-3
A121_Mbonge	fire-wood	firewood-3
A121_Mbonge	fish	fish-3
A121_Mbonge	five	five-1
A121_Mbonge	fly	fly-5
A121_Mbonge	four	four-3
A121_Mbonge	give	give-3
A121_Mbonge	goat	goat-1
A121_Mbonge	ground, soil	groundsoil-5
A121_Mbonge	hair	hair-1
A121_Mbonge	head	head-2
A121_Mbonge	hear	hear-1
A121_Mbonge	heart	heart-1
A121_Mbonge	horn	horn-3
A121_Mbonge	house	house-1
A121_Mbonge	hunger	hunger-1
A121_Mbonge	intestine	intestine-2
A121_Mbonge	iron	iron-7
A121_Mbonge	kill	kill-3
A121_Mbonge	knee	knee-3
A121_Mbonge	knife	knife-5
A121_Mbonge	know	know-1
A121_Mbonge	leaf	leaf-4
A121_Mbonge	leg	leg-4
A121_Mbonge	liver	liver-1
A121_Mbonge	louse	louse-5
A121_Mbonge	man	man-6
A121_Mbonge	moon	moon-1
A121_Mbonge	mouth	mouth-3
A121_Mbonge	name	name-4
A121_Mbonge	navel	navel-1
A121_Mbonge	neck	neck-5
A121_Mbonge	night	night-4
A121_Mbonge	nose	nose-5
A121_Mbonge	one	one-1
A121_Mbonge	person	person-2
A121_Mbonge	rain	rain-4
A121_Mbonge	road	road-1
A121_Mbonge	root	root-4
A121_Mbonge	salt	salt-5
A121_Mbonge	sand	sand-3
A121_Mbonge	see	see-1
A121_Mbonge	send	send-1
A121_Mbonge	shame	shame-5
A121_Mbonge	sing	sing-4
A121_Mbonge	skin	skin-1
A121_Mbonge	sky	sky-7
A121_Mbonge	sleep	sleep-1
A121_Mbonge	smoke	smoke-4
A121_Mbonge	snake	snake-1
A121_Mbonge	spear	spear-1
A121_Mbonge	steal	steal-4
A121_Mbonge	stone	stone-3
A121_Mbonge	sun	sun-6
A121_Mbonge	tail	tail-1
A121_Mbonge	ten	ten-3
A121_Mbonge	three	three-2
A121_Mbonge	tongue	tongue-1
A121_Mbonge	tooth	tooth-1
A121_Mbonge	tree	tree-1
A121_Mbonge	two	two-1
A121_Mbonge	urine	urine-3
A121_Mbonge	village	village-7
A121_Mbonge	vomit	vomit-2
A121_Mbonge	walk	walk-4
A121_Mbonge	war	war-2
A121_Mbonge	water	water-4
A121_Mbonge	wind	wind-4
A121_Mbonge	woman	woman-6
A122_Bakundu	animal	animal-1
A122_Bakundu	arm	arm-2
A122_Bakundu	ashes	ashes-1
A122_Bakundu	bark	bark-2
A122_Bakundu	bed	bed-5
A122_Bakundu	belly	belly-5
A122_Bakundu	big	big-2
A122_Bakundu	bird	bird-2
A122_Bakundu	bite	bite-2
A122_Bakundu	blood	blood-1
A122_Bakundu	bone	bone-3
A122_Bakundu	breast	breast-1
A122_Bakundu	burn	burn-4
A122_Bakundu	child	child-1
A122_Bakundu	cloud	cloud-2
A122_Bakundu	come	come-8
A122_Bakundu	count	count-2
A122_Bakundu	dew	dew-5
A122_Bakundu	die	die-1
A122_Bakundu	dog	dog-2
A122_Bakundu	drink	drink-1
A122_Bakundu	ear	ear-4
A122_Bakundu	eat	eat-1
A122_Bakundu	egg	egg-3
A122_Bakundu	elephant	elephant-4
A122_Bakundu	eye	eye-2
A122_Bakundu	face	face-4
A122_Bakundu	fall	fall-4
A122_Bakundu	fat, oil	fatoil-3
A122_Bakundu	feather	feather-3
A122_Bakundu	fingernail	fingernail-6
A122_Bakundu	fire	fire-1
A122_Bakundu	fire-wood	firewood-4
A122_Bakundu	fish	fish-3
A122_Bakundu	five	five-1
A122_Bakundu	fly	fly-4
A122_Bakundu	four	four-3
A122_Bakundu	give	give-1
A122_Bakundu	goat	goat-1
A122_Bakundu	ground, soil	groundsoil-5
A122_Bakundu	hair	hair-1
A122_Bakundu	head	head-1
A122_Bakundu	hear	hear-1
A122_Bakundu	heart	heart-1
A122_Bakundu	horn	horn-3
A122_Bakundu	house	house-1
A122_Bakundu	hunger	hunger-1
A122_Bakundu	intestine	intestine-2
A122_Bakundu	iron	iron-8
A122_Bakundu	kill	kill-3
A122_Bakundu	knee	knee-3
A122_Bakundu	knife	knife-6
A122_Bakundu	know	know-1
A122_Bakundu	leaf	leaf-4
A122_Bakundu	leg	leg-5
A122_Bakundu	liver	liver-1
A122_Bakundu	louse	louse-5
A122_Bakundu	man	man-5
A122_Bakundu	moon	moon-1
A122_Bakundu	mouth	mouth-3
A122_Bakundu	name	name-4
A122_Bakundu	navel	navel-1
A122_Bakundu	neck	neck-6
A122_Bakundu	night	night-4
A122_Bakundu	nose	nose-5
A122_Bakundu	one	one-1
A122_Bakundu	person	person-2
A122_Bakundu	rain	rain-4
A122_Bakundu	road	road-1
A122_Bakundu	root	root-1
A122_Bakundu	salt	salt-5
A122_Bakundu	sand	sand-3
A122_Bakundu	see	see-1
A122_Bakundu	send	send-1
A122_Bakundu	shame	shame-5
A122_Bakundu	sing	sing-4
A122_Bakundu	skin	skin-1
A122_Bakundu	sky	sky-7
A122_Bakundu	sleep	sleep-1
A122_Bakundu	smoke	smoke-4
A122_Bakundu	snake	snake-1
A122_Bakundu	spear	spear-1
A122_Bakundu	steal	steal-4
A122_Bakundu	stone	stone-3
A122_Bakundu	sun	sun-5
A122_Bakundu	tail	tail-1
A122_Bakundu	ten	ten-3
A122_Bakundu	three	three-2
A122_Bakundu	tongue	tongue-1
A122_Bakundu	tooth	tooth-1
A122_Bakundu	tree	tree-1
A122_Bakundu	two	two-1
A122_Bakundu	urine	urine-3
A122_Bakundu	village	village-7
A122_Bakundu	vomit	vomit-2
A122_Bakundu	walk	walk-4
A122_Bakundu	war	war-2
A122_Bakundu	water	water-4
A122_Bakundu	wind	wind-5
A122_Bakundu	woman	woman-6
A141_Lefo	animal	animal-1
A141_Lefo	arm	arm-2
A141_Lefo	ashes	ashes-7
A141_Lefo	bark	bark-3
A141_Lefo	bed	bed-6
A141_Lefo	belly	belly-1
A141_Lefo	big	big-3
A141_Lefo	bird	bird-2
A141_Lefo	bite	bite-3
A141_Lefo	blood	blood-1
A141_Lefo	bone	bone-4
A141_Lefo	breast	breast-1
A141_Lefo	burn	burn-5
A141_Lefo	child	child-1
A141_Lefo	cloud	cloud-2
A141_Lefo	come	come-9
A141_Lefo	count	count-2
A141_Lefo	dew	dew-5
A141_Lefo	die	die-1
A141_Lefo	dog	dog-1
A141_Lefo	drink	drink-2
A141_Lefo	ear	ear-4
A141_Lefo	eat	eat-1
A141_Lefo	egg	egg-3
A141_Lefo	elephant	elephant-4
A141_Lefo	eye	eye-2
A141_Lefo	face	face-4
A141_Lefo	fall	fall-4
A141_Lefo	fat, oil	fatoil-4
A141_Lefo	feather	feather-3
A141_Lefo	fingernail	fingernail-7
A141_Lefo	fire	fire-1
A141_Lefo	fire-wood	firewood-1
A141_Lefo	fish	fish-1
A141_Lefo	five	five-1
A141_Lefo	fly	fly-6
A141_Lefo	four	four-3
A141_Lefo	give	give-1
A141_Lefo	goat	goat-1
A141_Lefo	ground, soil	groundsoil-6
A141_Lefo	hair	hair-1
A141_Lefo	head	head-1
A141_Lefo	hear	hear-1
A141_Lefo	heart	heart-1
A141_Lefo	horn	horn-1
A141_Lefo	house	house-1
A141_Lefo	hunger	hunger-1
A141_Lefo	intestine	intestine-2
A141_Lefo	iron	iron-8
A141_Lefo	kill	kill-3
A141_Lefo	knee	knee-3
A141_Lefo	knife	knife-5
