Language	Concept	Cognateset
Danish	FIGHT	FIGHT.1437
Dutch	FIGHT	FIGHT.1543
Elfdalian	FIGHT	FIGHT.1583
English	FIGHT	FIGHT.1543
Frisian	FIGHT	FIGHT.1543
German	FIGHT	FIGHT.2046
Hindi	FIGHT	FIGHT.1095
Russian	FIGHT	FIGHT.905
Spanish	FIGHT	FIGHT.1714
Swedish	FIGHT	FIGHT.8
Danish	FIRE	FIRE.1438
Dutch	FIRE	FIRE.444
Elfdalian	FIRE	FIRE.1438
English	FIRE	FIRE.444
Frisian	FIRE	FIRE.444
German	FIRE	FIRE.444
Hindi	FIRE	FIRE.928
Russian	FIRE	FIRE.928
Spanish	FIRE	FIRE.310
Swedish	FIRE	FIRE.1438
Danish	FISH	FISH.311
Dutch	FISH	FISH.311
Elfdalian	FISH	FISH.311
English	FISH	FISH.311
Frisian	FISH	FISH.311
German	FISH	FISH.311
Hindi	FISH	FISH.683
Russian	FISH	FISH.929
Spanish	FISH	FISH.311
Swedish	FISH	FISH.311
Danish	FIVE	FIVE.47
Dutch	FIVE	FIVE.47
Elfdalian	FIVE	FIVE.47
English	FIVE	FIVE.47
Frisian	FIVE	FIVE.47
German	FIVE	FIVE.47
Hindi	FIVE	FIVE.47
Russian	FIVE	FIVE.47
Spanish	FIVE	FIVE.47
Swedish	FIVE	FIVE.47
Danish	FLOWER	FLOWER.312
Dutch	FLOWER	FLOWER.312
Elfdalian	FLOWER	FLOWER.312
English	FLOWER	FLOWER.1639
Frisian	FLOWER	FLOWER.312
German	FLOWER	FLOWER.312
Hindi	FLOWER	FLOWER.1005
Russian	FLOWER	FLOWER.930
Spanish	FLOWER	FLOWER.312
Swedish	FLOWER	FLOWER.312
Danish	FLY_N	FLY_N.1417
Dutch	FLY_N	FLY_N.1417
Elfdalian	FLY_N	FLY_N.1417
English	FLY_N	FLY_N.1417
Frisian	FLY_N	FLY_N.1738
German	FLY_N	FLY_N.1417
Hindi	FLY_N	FLY_N.624
Russian	FLY_N	FLY_N.49
Spanish	FLY_N	FLY_N.49
Swedish	FLY_N	FLY_N.1417
Danish	FLY_V	FLY_V.1417
Dutch	FLY_V	FLY_V.1417
Elfdalian	FLY_V	FLY_V.1417
English	FLY_V	FLY_V.1417
Frisian	FLY_V	FLY_V.1417
German	FLY_V	FLY_V.1417
Hindi	FLY_V	FLY_V.1006
Russian	FLY_V	FLY_V.3878
Spanish	FLY_V	FLY_V.313
Swedish	FLY_V	FLY_V.1417
Danish	FOG	FOG.1439
Dutch	FOG	FOG.585
Elfdalian	FOG	FOG.1584
English	FOG	FOG.1640
Frisian	FOG	FOG.1739
German	FOG	FOG.431
Hindi	FOG	FOG.1007
Russian	FOG	FOG.3879
Spanish	FOG	FOG.431
Swedish	FOG	FOG.1439
Danish	FOOT	FOOT.315
Dutch	FOOT	FOOT.315
Elfdalian	FOOT	FOOT.315
English	FOOT	FOOT.315
Frisian	FOOT	FOOT.315
German	FOOT	FOOT.315
Hindi	FOOT	FOOT.315
Russian	FOOT	FOOT.288
Spanish	FOOT	FOOT.8
Swedish	FOOT	FOOT.315
Danish	FOREST	FOREST.1440
Dutch	FOREST	FOREST.250
Elfdalian	FOREST	FOREST.1585
English	FOREST	FOREST.1246
Frisian	FOREST	FOREST.1701
German	FOREST	FOREST.250
Hindi	FOREST	FOREST.789
Russian	FOREST	FOREST.933
Spanish	FOREST	FOREST.316
Swedish	FOREST	FOREST.4166
Danish	FOUR	FOUR.54
Dutch	FOUR	FOUR.54
Elfdalian	FOUR	FOUR.54
English	FOUR	FOUR.54
Frisian	FOUR	FOUR.54
German	FOUR	FOUR.54
Hindi	FOUR	FOUR.54
Russian	FOUR	FOUR.54
Spanish	FOUR	FOUR.54
Swedish	FOUR	FOUR.54
Danish	FREEZE	FREEZE.1441
Dutch	FREEZE	FREEZE.1441
Elfdalian	FREEZE	FREEZE.1586
English	FREEZE	FREEZE.1441
Frisian	FREEZE	FREEZE.1441
German	FREEZE	FREEZE.1441
Hindi	FREEZE	FREEZE.1096
Russian	FREEZE	FREEZE.206
Spanish	FREEZE	FREEZE.317
Swedish	FREEZE	FREEZE.1441
Danish	FRUIT	FRUIT.55
Dutch	FRUIT	FRUIT.55
Elfdalian	FRUIT	FRUIT.55
English	FRUIT	FRUIT.55
Frisian	FRUIT	FRUIT.55
German	FRUIT	FRUIT.55
Hindi	FRUIT	FRUIT.1009
Russian	FRUIT	FRUIT.56
Spanish	FRUIT	FRUIT.318
Swedish	FRUIT	FRUIT.55
Danish	FULL	FULL.56
Dutch	FULL	FULL.56
Elfdalian	FULL	FULL.56
English	FULL	FULL.56
Frisian	FULL	FULL.56
German	FULL	FULL.56
Hindi	FULL	FULL.5
Russian	FULL	FULL.56
Spanish	FULL	FULL.56
Swedish	FULL	FULL.56
Danish	GIVE	GIVE.1442
Dutch	GIVE	GIVE.1442
Elfdalian	GIVE	GIVE.1442
English	GIVE	GIVE.1442
Frisian	GIVE	GIVE.1442
German	GIVE	GIVE.1442
Hindi	GIVE	GIVE.57
Russian	GIVE	GIVE.57
Spanish	GIVE	GIVE.57
Swedish	GIVE	GIVE.1442
Danish	GO	GO.1443
Dutch	GO	GO.1443
Elfdalian	GO	GO.1443
English	GO	GO.1443
Frisian	GO	GO.1443
German	GO	GO.1443
Hindi	GO	GO.626
Russian	GO	GO.58
Spanish	GO	GO.319
Swedish	GO	GO.1443
Danish	GOOD	GOOD.986
Dutch	GOOD	GOOD.986
Elfdalian	GOOD	GOOD.986
English	GOOD	GOOD.986
Frisian	GOOD	GOOD.986
German	GOOD	GOOD.986
Hindi	GOOD	GOOD.2364
Russian	GOOD	GOOD.3880
Spanish	GOOD	GOOD.320
Swedish	GOOD	GOOD.4167
Danish	GRASS	GRASS.1444
Dutch	GRASS	GRASS.1444
Elfdalian	GRASS	GRASS.1444
English	GRASS	GRASS.1444
Frisian	GRASS	GRASS.1444
German	GRASS	GRASS.1444
Hindi	GRASS	GRASS.628
Russian	GRASS	GRASS.935
Spanish	GRASS	GRASS.321
Swedish	GRASS	GRASS.1444
Danish	GREEN	GREEN.1445
Dutch	GREEN	GREEN.1445
Elfdalian	GREEN	GREEN.1445
English	GREEN	GREEN.1445
Frisian	GREEN	GREEN.1445
German	GREEN	GREEN.1445
Hindi	GREEN	GREEN.687
Russian	GREEN	GREEN.687
Spanish	GREEN	GREEN.322
Swedish	GREEN	GREEN.1445
Danish	GRIND	GRIND.323
Dutch	GRIND	GRIND.323
Elfdalian	GRIND	GRIND.323
English	GRIND	GRIND.1641
Frisian	GRIND	GRIND.323
German	GRIND	GRIND.323
Hindi	GRIND	GRIND.688
Russian	GRIND	GRIND.323
Spanish	GRIND	GRIND.323
Swedish	GRIND	GRIND.323
Danish	GUTS	GUTS.1446
Dutch	GUTS	GUTS.1446
Elfdalian	GUTS	GUTS.1587
English	GUTS	GUTS.1642
Frisian	GUTS	GUTS.1740
German	GUTS	GUTS.2047
Hindi	GUTS	GUTS.324
Russian	GUTS	GUTS.324
Spanish	GUTS	GUTS.324
Swedish	GUTS	GUTS.1446
Danish	HAIR	HAIR.963
Dutch	HAIR	HAIR.963
Elfdalian	HAIR	HAIR.963
English	HAIR	HAIR.963
Frisian	HAIR	HAIR.963
German	HAIR	HAIR.963
Hindi	HAIR	HAIR.1098
Russian	HAIR	HAIR.690
Spanish	HAIR	HAIR.1714
Swedish	HAIR	HAIR.963
Danish	HAND	HAND.1447
Dutch	HAND	HAND.1447
Elfdalian	HAND	HAND.1588
English	HAND	HAND.1447
Frisian	HAND	HAND.1447
German	HAND	HAND.1447
Hindi	HAND	HAND.65
Russian	HAND	HAND.937
Spanish	HAND	HAND.326
Swedish	HAND	HAND.1447
Danish	HARD	HARD.275
Dutch	HARD	HARD.275
Elfdalian	HARD	HARD.1482
English	HARD	HARD.275
Frisian	HARD	HARD.275
German	HARD	HARD.2048
Hindi	HARD	HARD.1099
Russian	HARD	HARD.938
Spanish	HARD	HARD.327
Swedish	HARD	HARD.2048
Danish	HEAD	HEAD.328
Dutch	HEAD	HEAD.328
Elfdalian	HEAD	HEAD.1589
English	HEAD	HEAD.328
Frisian	HEAD	HEAD.328
German	HEAD	HEAD.2049
Hindi	HEAD	HEAD.66
Russian	HEAD	HEAD.939
Spanish	HEAD	HEAD.328
Swedish	HEAD	HEAD.328
Danish	HEAR	HEAR.1448
Dutch	HEAR	HEAR.1448
Elfdalian	HEAR	HEAR.1448
English	HEAR	HEAR.1448
Frisian	HEAR	HEAR.1448
German	HEAR	HEAR.1448
Hindi	HEAR	HEAR.460
Russian	HEAR	HEAR.1361
Spanish	HEAR	HEAR.329
Swedish	HEAR	HEAR.1448
Danish	HEART	HEART.330
Dutch	HEART	HEART.330
Elfdalian	HEART	HEART.330
English	HEART	HEART.330
Frisian	HEART	HEART.330
German	HEART	HEART.330
Hindi	HEART	HEART.875
Russian	HEART	HEART.330
Spanish	HEART	HEART.330
Swedish	HEART	HEART.330
Danish	HEAVY	HEAVY.941
Dutch	HEAVY	HEAVY.1544
Elfdalian	HEAVY	HEAVY.941
English	HEAVY	HEAVY.1643
Frisian	HEAVY	HEAVY.1544
German	HEAVY	HEAVY.1544
Hindi	HEAVY	HEAVY.5
Russian	HEAVY	HEAVY.941
Spanish	HEAVY	HEAVY.1328
Swedish	HEAVY	HEAVY.1544
Danish	HERE	HERE.462
Dutch	HERE	HERE.462
Elfdalian	HERE	HERE.462
English	HERE	HERE.462
Frisian	HERE	HERE.462
German	HERE	HERE.462
Hindi	HERE	HERE.693
Russian	HERE	HERE.462
Spanish	HERE	HERE.8
Swedish	HERE	HERE.462
Danish	HIDE	HIDE.1449
Dutch	HIDE	HIDE.1545
Elfdalian	HIDE	HIDE.1590
English	HIDE	HIDE.1644
Frisian	HIDE	HIDE.1741
German	HIDE	HIDE.605
Hindi	HIDE	HIDE.1100
Russian	HIDE	HIDE.3881
Spanish	HIDE	HIDE.299
Swedish	HIDE	HIDE.1590
Danish	HIT	HIT.1437
Dutch	HIT	HIT.390
Elfdalian	HIT	HIT.1437
English	HIT	HIT.1645
Frisian	HIT	HIT.1437
German	HIT	HIT.1453
Hindi	HIT	HIT.2365
Russian	HIT	HIT.905
Spanish	HIT	HIT.294
Swedish	HIT	HIT.1437
Danish	HORN	HORN.66
Dutch	HORN	HORN.66
Elfdalian	HORN	HORN.66
English	HORN	HORN.66
Frisian	HORN	HORN.66
German	HORN	HORN.66
Hindi	HORN	HORN.66
Russian	HORN	HORN.942
Spanish	HORN	HORN.66
Swedish	HORN	HORN.66
Danish	HOT	HOT.45
Dutch	HOT	HOT.45
Elfdalian	HOT	HOT.45
English	HOT	HOT.1646
Frisian	HOT	HOT.45
German	HOT	HOT.45
Hindi	HOT	HOT.632
Russian	HOT	HOT.696
Spanish	HOT	HOT.333
Swedish	HOT	HOT.45
Danish	HOUSE	HOUSE.1450
Dutch	HOUSE	HOUSE.1450
Elfdalian	HOUSE	HOUSE.1450
English	HOUSE	HOUSE.1450
Frisian	HOUSE	HOUSE.1450
German	HOUSE	HOUSE.1450
Hindi	HOUSE	HOUSE.2366
Russian	HOUSE	HOUSE.466
Spanish	HOUSE	HOUSE.1331
Swedish	HOUSE	HOUSE.1450
Danish	HOW	HOW.74
Dutch	HOW	HOW.74
Elfdalian	HOW	HOW.74
English	HOW	HOW.74
Frisian	HOW	HOW.74
German	HOW	HOW.74
Hindi	HOW	HOW.74
Russian	HOW	HOW.74
Spanish	HOW	HOW.74
Swedish	HOW	HOW.74
Danish	HUNT	HUNT.1451
Dutch	HUNT	HUNT.1546
Elfdalian	HUNT	HUNT.1451
English	HUNT	HUNT.1647
Frisian	HUNT	HUNT.1546
German	HUNT	HUNT.1546
Hindi	HUNT	HUNT.1015
Russian	HUNT	HUNT.3384
Spanish	HUNT	HUNT.334
Swedish	HUNT	HUNT.4168
Danish	I	I.76
Dutch	I	I.76
Elfdalian	I	I.76
English	I	I.76
Frisian	I	I.76
German	I	I.76
Hindi	I	I.635
Russian	I	I.76
Spanish	I	I.76
Swedish	I	I.76
Danish	ICE	ICE.1452
Dutch	ICE	ICE.1452
Elfdalian	ICE	ICE.1452
English	ICE	ICE.1452
Frisian	ICE	ICE.1452
German	ICE	ICE.1452
Hindi	ICE	ICE.1016
Russian	ICE	ICE.945
Spanish	ICE	ICE.317
Swedish	ICE	ICE.1452
Danish	KILL	KILL.1453
Dutch	KILL	KILL.1437
Elfdalian	KILL	KILL.1591
English	KILL	KILL.1648
Frisian	KILL	KILL.822
German	KILL	KILL.822
Hindi	KILL	KILL.296
Russian	KILL	KILL.17
Spanish	KILL	KILL.1332
Swedish	KILL	KILL.1453
Danish	KNEE	KNEE.79
Dutch	KNEE	KNEE.79
Elfdalian	KNEE	KNEE.79
English	KNEE	KNEE.79
Frisian	KNEE	KNEE.79
German	KNEE	KNEE.79
Hindi	KNEE	KNEE.1101
Russian	KNEE	KNEE.946
Spanish	KNEE	KNEE.365
Swedish	KNEE	KNEE.79
Danish	KNOW	KNOW.372
Dutch	KNOW	KNOW.372
Elfdalian	KNOW	KNOW.372
English	KNOW	KNOW.638
Frisian	KNOW	KNOW.372
German	KNOW	KNOW.372
Hindi	KNOW	KNOW.638
