Language	Concept	Cognateset
English	TIE	TIE.1670
Frisian	TIE	TIE.627
German	TIE	TIE.627
Hindi	TIE	TIE.627
Russian	TIE	TIE.477
Spanish	TIE	TIE.208
Swedish	TIE	TIE.4174
Danish	TONGUE	TONGUE.402
Dutch	TONGUE	TONGUE.402
Elfdalian	TONGUE	TONGUE.402
English	TONGUE	TONGUE.402
Frisian	TONGUE	TONGUE.8
German	TONGUE	TONGUE.402
Hindi	TONGUE	TONGUE.402
Russian	TONGUE	TONGUE.402
Spanish	TONGUE	TONGUE.402
Swedish	TONGUE	TONGUE.402
Danish	TOOTH	TOOTH.403
Dutch	TOOTH	TOOTH.403
Elfdalian	TOOTH	TOOTH.403
English	TOOTH	TOOTH.403
Frisian	TOOTH	TOOTH.403
German	TOOTH	TOOTH.403
Hindi	TOOTH	TOOTH.403
Russian	TOOTH	TOOTH.161
Spanish	TOOTH	TOOTH.403
Swedish	TOOTH	TOOTH.403
Danish	TREE	TREE.248
Dutch	TREE	TREE.1568
Elfdalian	TREE	TREE.248
English	TREE	TREE.248
Frisian	TREE	TREE.1568
German	TREE	TREE.2055
Hindi	TREE	TREE.1130
Russian	TREE	TREE.248
Spanish	TREE	TREE.404
Swedish	TREE	TREE.248
Danish	TRUE	TRUE.390
Dutch	TRUE	TRUE.1569
Elfdalian	TRUE	TRUE.390
English	TRUE	TRUE.390
Frisian	TRUE	TRUE.405
German	TRUE	TRUE.405
Hindi	TRUE	TRUE.2377
Russian	TRUE	TRUE.3883
Spanish	TRUE	TRUE.1343
Swedish	TRUE	TRUE.390
Danish	TURN	TURN.1502
Dutch	TURN	TURN.1570
Elfdalian	TURN	TURN.1612
English	TURN	TURN.1671
Frisian	TURN	TURN.1570
German	TURN	TURN.1612
Hindi	TURN	TURN.2378
Russian	TURN	TURN.273
Spanish	TURN	TURN.1344
Swedish	TURN	TURN.1612
Danish	TWO	TWO.165
Dutch	TWO	TWO.165
Elfdalian	TWO	TWO.165
English	TWO	TWO.165
Frisian	TWO	TWO.165
German	TWO	TWO.165
Hindi	TWO	TWO.165
Russian	TWO	TWO.165
Spanish	TWO	TWO.165
Swedish	TWO	TWO.165
Danish	VOMIT	VOMIT.1503
Dutch	VOMIT	VOMIT.242
Elfdalian	VOMIT	VOMIT.242
English	VOMIT	VOMIT.1672
Frisian	VOMIT	VOMIT.242
German	VOMIT	VOMIT.1442
Hindi	VOMIT	VOMIT.1132
Russian	VOMIT	VOMIT.78
Spanish	VOMIT	VOMIT.407
Swedish	VOMIT	VOMIT.1503
Danish	WALK	WALK.1504
Dutch	WALK	WALK.1475
Elfdalian	WALK	WALK.1504
English	WALK	WALK.1673
Frisian	WALK	WALK.959
German	WALK	WALK.8
Hindi	WALK	WALK.2379
Russian	WALK	WALK.377
Spanish	WALK	WALK.1760
Swedish	WALK	WALK.1504
Danish	WASH	WASH.1505
Dutch	WASH	WASH.1571
Elfdalian	WASH	WASH.1613
English	WASH	WASH.1571
Frisian	WASH	WASH.1571
German	WASH	WASH.1571
Hindi	WASH	WASH.660
Russian	WASH	WASH.3891
Spanish	WASH	WASH.148
Swedish	WASH	WASH.2069
Danish	WATER	WATER.168
Dutch	WATER	WATER.168
Elfdalian	WATER	WATER.168
English	WATER	WATER.168
Frisian	WATER	WATER.168
German	WATER	WATER.168
Hindi	WATER	WATER.30
Russian	WATER	WATER.168
Spanish	WATER	WATER.409
Swedish	WATER	WATER.168
Danish	WE	WE.169
Dutch	WE	WE.169
Elfdalian	WE	WE.169
English	WE	WE.169
Frisian	WE	WE.169
German	WE	WE.169
Hindi	WE	WE.169
Russian	WE	WE.169
Spanish	WE	WE.169
Swedish	WE	WE.169
Danish	WET	WET.168
Dutch	WET	WET.1572
Elfdalian	WET	WET.1614
English	WET	WET.168
Frisian	WET	WET.168
German	WET	WET.1572
Hindi	WET	WET.1064
Russian	WET	WET.982
Spanish	WET	WET.410
Swedish	WET	WET.168
Danish	WHAT	WHAT.171
Dutch	WHAT	WHAT.171
Elfdalian	WHAT	WHAT.171
English	WHAT	WHAT.171
Frisian	WHAT	WHAT.171
German	WHAT	WHAT.171
Hindi	WHAT	WHAT.171
Russian	WHAT	WHAT.171
Spanish	WHAT	WHAT.171
Swedish	WHAT	WHAT.171
Danish	WHEN	WHEN.172
Dutch	WHEN	WHEN.172
Elfdalian	WHEN	WHEN.172
English	WHEN	WHEN.172
Frisian	WHEN	WHEN.172
German	WHEN	WHEN.172
Hindi	WHEN	WHEN.172
Russian	WHEN	WHEN.172
Spanish	WHEN	WHEN.172
Swedish	WHEN	WHEN.172
Danish	WHERE	WHERE.172
Dutch	WHERE	WHERE.172
Elfdalian	WHERE	WHERE.172
English	WHERE	WHERE.172
Frisian	WHERE	WHERE.1749
German	WHERE	WHERE.172
Hindi	WHERE	WHERE.172
Russian	WHERE	WHERE.172
Spanish	WHERE	WHERE.172
Swedish	WHERE	WHERE.172
Danish	WHITE	WHITE.900
Dutch	WHITE	WHITE.900
Elfdalian	WHITE	WHITE.900
English	WHITE	WHITE.900
Frisian	WHITE	WHITE.900
German	WHITE	WHITE.900
Hindi	WHITE	WHITE.2380
Russian	WHITE	WHITE.983
Spanish	WHITE	WHITE.411
Swedish	WHITE	WHITE.900
Danish	WHO	WHO.171
Dutch	WHO	WHO.171
Elfdalian	WHO	WHO.1615
English	WHO	WHO.171
Frisian	WHO	WHO.171
German	WHO	WHO.171
Hindi	WHO	WHO.171
Russian	WHO	WHO.171
Spanish	WHO	WHO.171
Swedish	WHO	WHO.171
Danish	WIDE	WIDE.1506
Dutch	WIDE	WIDE.1506
Elfdalian	WIDE	WIDE.1506
English	WIDE	WIDE.1674
Frisian	WIDE	WIDE.1674
German	WIDE	WIDE.1674
Hindi	WIDE	WIDE.1066
Russian	WIDE	WIDE.984
Spanish	WIDE	WIDE.1347
Swedish	WIDE	WIDE.1674
Danish	WIND	WIND.413
Dutch	WIND	WIND.413
Elfdalian	WIND	WIND.283
English	WIND	WIND.413
Frisian	WIND	WIND.413
German	WIND	WIND.413
Hindi	WIND	WIND.1067
Russian	WIND	WIND.413
Spanish	WIND	WIND.413
Swedish	WIND	WIND.413
Danish	WING	WING.1507
Dutch	WING	WING.1417
Elfdalian	WING	WING.1507
English	WING	WING.1675
Frisian	WING	WING.1750
German	WING	WING.1417
Hindi	WING	WING.1072
Russian	WING	WING.985
Spanish	WING	WING.414
Swedish	WING	WING.4175
Danish	WITH	WITH.176
Dutch	WITH	WITH.176
Elfdalian	WITH	WITH.176
English	WITH	WITH.1676
Frisian	WITH	WITH.176
German	WITH	WITH.176
Hindi	WITH	WITH.482
Russian	WITH	WITH.482
Spanish	WITH	WITH.1254
Swedish	WITH	WITH.176
Danish	WOMAN	WOMAN.1508
Dutch	WOMAN	WOMAN.1573
Elfdalian	WOMAN	WOMAN.527
English	WOMAN	WOMAN.1677
Frisian	WOMAN	WOMAN.1573
German	WOMAN	WOMAN.1573
Hindi	WOMAN	WOMAN.663
Russian	WOMAN	WOMAN.527
Spanish	WOMAN	WOMAN.1410
Swedish	WOMAN	WOMAN.527
Danish	WORM	WORM.417
Dutch	WORM	WORM.417
Elfdalian	WORM	WORM.1616
English	WORM	WORM.417
Frisian	WORM	WORM.417
German	WORM	WORM.417
Hindi	WORM	WORM.1136
Russian	WORM	WORM.178
Spanish	WORM	WORM.3551
Swedish	WORM	WORM.1616
Danish	YEAR	YEAR.1509
Dutch	YEAR	YEAR.1509
Elfdalian	YEAR	YEAR.1509
English	YEAR	YEAR.1509
Frisian	YEAR	YEAR.1509
German	YEAR	YEAR.1509
Hindi	YEAR	YEAR.2381
Russian	YEAR	YEAR.3892
Spanish	YEAR	YEAR.418
Swedish	YEAR	YEAR.1509
Danish	YELLOW	YELLOW.687
Dutch	YELLOW	YELLOW.687
Elfdalian	YELLOW	YELLOW.687
English	YELLOW	YELLOW.687
Frisian	YELLOW	YELLOW.687
German	YELLOW	YELLOW.687
Hindi	YELLOW	YELLOW.1138
Russian	YELLOW	YELLOW.687
Spanish	YELLOW	YELLOW.280
Swedish	YELLOW	YELLOW.687
Danish	YESTERDAY	YESTERDAY.65
Dutch	YESTERDAY	YESTERDAY.65
Elfdalian	YESTERDAY	YESTERDAY.65
English	YESTERDAY	YESTERDAY.65
Frisian	YESTERDAY	YESTERDAY.65
German	YESTERDAY	YESTERDAY.2056
Hindi	YESTERDAY	YESTERDAY.1069
Russian	YESTERDAY	YESTERDAY.480
Spanish	YESTERDAY	YESTERDAY.65
Swedish	YESTERDAY	YESTERDAY.2056
Danish	YOU_PL.	YOU_PL.181
Dutch	YOU_PL.	YOU_PL.181
Elfdalian	YOU_PL.	YOU_PL.181
English	YOU_PL.	YOU_PL.181
Frisian	YOU_PL.	YOU_PL.181
German	YOU_PL.	YOU_PL.181
Hindi	YOU_PL.	YOU_PL.2382
Russian	YOU_PL.	YOU_PL.181
Spanish	YOU_PL.	YOU_PL.181
Swedish	YOU_PL.	YOU_PL.181
Danish	YOU_SG.	YOU_SG.182
Dutch	YOU_SG.	YOU_SG.181
Elfdalian	YOU_SG.	YOU_SG.182
English	YOU_SG.	YOU_SG.182
Frisian	YOU_SG.	YOU_SG.182
German	YOU_SG.	YOU_SG.182
Hindi	YOU_SG.	YOU_SG.182
Russian	YOU_SG.	YOU_SG.182
Spanish	YOU_SG.	YOU_SG.182
Swedish	YOU_SG.	YOU_SG.182
